prolongamento,Index_complex,tipo
35921,0.308799476611057,control
28394,0.0556423986430306,control
32499,0.245665343639022,control
40697,0.286643295354952,control
42045,0.109197228754846,control
40632,0.139444256184344,control
35383,0.078855565968968,control
41827,0.137872042212878,control
28260,0.105299816374343,control
36180,0.189407178384191,control
22949,0.279737618479694,control
23588,0.211789079730001,control
47231,0.250337285526086,control
34991,0.463048215327011,control
50501,0.134085492361242,control
46614,0.252225804899177,control
34711,0.158480411171451,control
55551,0.193545577283219,control
34913,0.0836963938900845,control
21208,0.103862080621989,control
56707,0.467869677007676,control
39301,0.326126095231563,control
50040,0.18966187329965,control
27161,0.134531434215977,control
44977,0.181492265696087,control
36694,0.099600029445685,control
36133,0.0721329156180988,control
17881,0.0606745114519857,control
27802,0.0715955386362118,control
31940,0.100154951401606,control
35620,0.144860037451385,control
32486,0.233730392734992,control
28757,0.0715461853872728,control
48136,0.0959017317155629,control
28801,0.198346647368275,control
37567,0.393689477081988,control
19579,0.0434803849723973,control
52141,0.167010144580238,control
32202,0.123277974407841,control
40662,0.422570613044775,control
30011,0.0905206376144009,control
27977,0.371628147249736,control
40435,0.327763923524522,control
32044,0.473428205212476,control
36773,0.24963780684392,control
41625,0.227363848980956,control
48935,0.574452357969615,control
43985,0.340248091316804,control
48938,0.540121223511723,control
48674,0.374892442047133,control
55687,0.113842873283366,control
63578,0.527957412370904,control
43494,0.488311902212915,control
49720,0.316319234365546,control
51773,0.283379010602663,control
58055,0.154395164226932,CB1_NEG
51006,0.170458796168296,CB1_NEG
19662,0.123132497881639,CB1_NEG
26888,0.0910381663905886,CB1_NEG
17265,0.0983392521412157,CB1_NEG
19415,0.212788387463001,CB1_NEG
27798,0.170456580125336,CB1_NEG
23228,0.128764862533288,CB1_NEG
20657,0.109343336351485,CB1_NEG
25840,0.143349688370243,CB1_NEG
34737,0.0996812067490864,CB1_NEG
21653,0.0670429574733939,CB1_NEG
21801,0.0642142765162896,CB1_NEG
32182,0.0872167229202712,CB1_NEG
23110,0.0813324852917793,CB1_NEG
32224,0.39466120639453,CB1_NEG
31939,0.0985832016256492,CB1_NEG
25380,0.0602784360189573,CB1_NEG
23721,0.0542243132251505,CB1_NEG
16518,0.0341480528593147,CB1_NEG
20760,0.0332495110366025,CB1_NEG
29000,0.213793851325706,CB1_NEG
34595,0.0383867022459418,CB1_NEG
22896,0.0867900446713465,CB1_NEG
23735,0.0384459568951547,CB1_NEG
15409,0.107242178447277,CB1_NEG
